scenario,step,lane_id,queue_length,waiting_time,vehicle_count,throughput,signal_phase,emergency_count,accident_alert
peak,12,west,47,141,1,0,east,0,False
peak,13,north,36,108,8,0,east,0,False
peak,13,east,36,108,2,5,east,0,False
peak,13,south,46,138,3,0,east,0,False
peak,13,west,49,147,2,0,east,0,False
peak,14,north,40,120,4,0,east,0,False
peak,14,east,36,108,5,5,east,0,False
peak,14,south,51,153,5,0,east,0,False
peak,14,west,52,156,3,0,east,0,False
peak,15,north,44,132,4,0,east,0,False
peak,15,east,34,102,3,5,east,0,False
peak,15,south,58,174,7,0,east,0,False
peak,15,west,54,162,2,0,east,0,False
peak,16,north,50,150,6,0,south,0,False
peak,16,east,40,120,6,0,south,0,False
peak,16,south,58,174,5,5,south,0,False
peak,16,west,55,165,1,0,south,0,False
peak,17,north,53,159,3,0,south,0,False
peak,17,east,43,129,3,0,south,0,False
peak,17,south,57,171,4,5,south,0,False
peak,17,west,59,177,4,0,south,0,False
peak,18,north,54,162,1,0,south,0,False
peak,18,east,47,141,4,0,south,0,False
peak,18,south,54,162,2,5,south,0,False
peak,18,west,62,186,3,0,south,0,False
peak,19,north,58,174,4,0,south,0,False
peak,19,east,50,150,3,0,south,0,False
peak,19,south,53,159,4,5,south,0,False
peak,19,west,65,195,3,0,south,0,False
peak,20,north,62,186,4,0,south,0,False
peak,20,east,52,156,2,0,south,0,False
peak,20,south,52,156,4,5,south,0,False
peak,20,west,66,198,1,0,south,0,False
peak,21,north,67,201,5,0,south,0,False
peak,21,east,57,171,5,0,south,0,False
peak,21,south,49,147,2,5,south,0,False
peak,21,west,68,204,2,0,south,0,False
peak,22,north,75,225,8,0,south,0,False
peak,22,east,67,201,10,0,south,0,False
peak,22,south,50,150,6,5,south,0,False
peak,22,west,71,213,3,0,south,0,False
peak,23,north,82,246,7,0,south,0,False
peak,23,east,71,213,4,0,south,0,False
peak,23,south,48,144,3,5,south,0,False
peak,23,west,77,231,6,0,south,0,False
peak,24,north,86,258,4,0,west,0,False
peak,24,east,73,219,2,0,west,0,False
peak,24,south,56,168,8,0,west,0,False
peak,24,west,74,222,2,5,west,0,False
peak,25,north,90,270,4,0,west,0,False
peak,25,east,74,222,1,0,west,0,False
peak,25,south,58,174,2,0,west,0,False
peak,25,west,73,219,4,5,west,0,False
peak,26,north,95,285,5,0,west,0,False
peak,26,east,79,237,5,0,west,0,False
peak,26,south,62,186,4,0,west,0,False
peak,26,west,71,213,3,5,west,0,False
peak,27,north,98,294,3,0,west,0,False
peak,27,east,83,249,4,0,west,0,False
peak,27,south,65,195,3,0,west,0,False
peak,27,west,69,207,3,5,west,0,False
peak,28,north,99,297,1,0,west,0,False
peak,28,east,88,264,5,0,west,0,False
peak,28,south,70,210,5,0,west,0,False
peak,28,west,68,204,4,5,west,0,False
peak,29,north,102,306,3,0,west,0,False
peak,29,east,96,288,8,0,west,0,False
peak,29,south,77,231,7,0,west,0,False
peak,29,west,65,195,2,5,west,0,False
peak,30,north,108,324,6,0,west,0,False
peak,30,east,101,303,5,0,west,0,False
peak,30,south,79,237,2,0,west,0,False
peak,30,west,63,189,3,5,west,0,False
peak,31,north,112,336,4,0,west,0,False
peak,31,east,104,312,3,0,west,0,False
peak,31,south,81,243,2,0,west,0,False
peak,31,west,62,186,4,5,west,0,False
peak,32,north,112,336,5,5,north,0,False
peak,32,east,105,315,1,0,north,0,False
peak,32,south,84,252,3,0,north,0,False
peak,32,west,69,207,7,0,north,0,False
peak,33,north,109,327,2,5,north,0,False
peak,33,east,111,333,6,0,north,0,False
peak,33,south,90,270,6,0,north,0,False
peak,33,west,75,225,6,0,north,0,False
